"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"R K Swamy Ltd","RKSWAMY","544136","Communication Services","384445006.2","403308000","0.06","2114659","","","/mutual-fund/holding-history/10901/2102499/"
"Rishabh Instruments Ltd","RISHABH","543977","Technology","387991472.5","399506000","0.06","1346725","","","/mutual-fund/holding-history/10901/1650515/"
"Ceigall India Ltd","CEIGALL","544223","Industrials","372162480","346312000","0.05","1386080","","","/mutual-fund/holding-history/10901/2484735/"
"Astec Lifesciences Ltd","ASTEC","533138","Basic Materials","437036532","309890000","0.05","461009","","","/mutual-fund/holding-history/10901/121/"
"Credo Brands Marketing Ltd","MUFTI","544058","Consumer Cyclical","284220466.36","291582000","0.05","1696231","","","/mutual-fund/holding-history/10901/1839759/"
"Fusion Finance Ltd","FUSION","543652","Financial Services","322734955.2","286204000","0.05","1682664","-1936010","-53.5","/mutual-fund/holding-history/10901/755078/"
"Rolex Rings Ltd","ROLEXRINGS","543325","Industrials","279668887.5","282311000","0.04","176125","","","/mutual-fund/holding-history/10901/612873/"
"Netweb Technologies India Ltd","NETWEB","543945","Technology","235075344","251439000","0.04","125776","","","/mutual-fund/holding-history/10901/1544933/"
"Triveni Engineering & Industries Ltd","TRIVENI","532356","Consumer Defensive","184839776","216544000","0.03","494224","","","/mutual-fund/holding-history/10901/1419/"
"JNK India Ltd","JNKINDIA","544167","Industrials","197163110","203565000","0.03","574150","","","/mutual-fund/holding-history/10901/2217258/"
"Arvind Fashions Ltd","ARVINDFASN","542484","Consumer Cyclical","187623564.8","184755000","0.03","401248","401248","New","/mutual-fund/holding-history/10901/130968/"
"ICICI Prudential Life Insurance Co Ltd","ICICIPRULI","540133","Financial Services","132509155.9","135475000","0.02","204521","204521","New","/mutual-fund/holding-history/10901/4714/"
