"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Larsen & Toubro Ltd","LT","500510","Industrials","149662800","152785000","0.5","41573","41573","New","/mutual-fund/holding-history/22851/800/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","150293132.3","150600000","0.49","579611","-113963","-16.43","/mutual-fund/holding-history/22851/189/"
"DEE Development Engineers Ltd","","544198","Industrials","160010780.4","146296000","0.48","501444","","","/mutual-fund/holding-history/22851/83147/"
"Linde India Ltd","LINDEINDIA","523457","Basic Materials","117924450","133095000","0.44","17733","-686","-3.72","/mutual-fund/holding-history/22851/791/"
"Tata Technologies Ltd","TATATECH","544028","Technology","118878046.7","129764000","0.42","167741","","","/mutual-fund/holding-history/22851/1792699/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","124082350","120632000","0.39","6251","-5204","-45.43","/mutual-fund/holding-history/22851/202203/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","118459464.6","113013000","0.37","35598","","","/mutual-fund/holding-history/22851/1409/"
"Concord Enviro Systems Ltd","CEWATER","544315","Utilities","104030472","107546000","0.35","183120","","","/mutual-fund/holding-history/22851/2866112/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","116872659.8","107322000","0.35","57226","57226","New","/mutual-fund/holding-history/22851/61147/"
"JNK India Ltd","JNKINDIA","544167","Industrials","102096560","106466000","0.35","300284","","","/mutual-fund/holding-history/22851/2217258/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","119088956","99498000","0.33","64934","29606","83.8","/mutual-fund/holding-history/22851/209/"
"Oil India Ltd","OIL","533106","Energy","101178433.6","96047000","0.31","225041","","","/mutual-fund/holding-history/22851/965/"
"L&T Technology Services Ltd","LTTS","540115","Technology","92655880","93074000","0.3","21310","","","/mutual-fund/holding-history/22851/4708/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","86982948","85265000","0.28","75690","75690","New","/mutual-fund/holding-history/22851/764/"
"Divgi TorqTransfer Systems Ltd","DIVGIITTS","543812","Consumer Cyclical","40206158.2","35401000","0.12","63557","","","/mutual-fund/holding-history/22851/1381687/"
"Carraro India Ltd","CARRARO","544320","Consumer Cyclical","30940000","31076000","0.1","68000","","","/mutual-fund/holding-history/22851/2867597/"
"Sanofi Consumer Healthcare India Ltd","SANOFICONR","544250","Healthcare","11415285","11433000","0.04","2170","2170","New","/mutual-fund/holding-history/22851/2638456/"
"Mahindra &Mah Fin","","","","","10974000","0.04","163547","163547","New",""
