"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"TBO Tek Ltd","TBOTEK","544174","Consumer Cyclical","4327990651.6","4471594000","0.71","3427297","","","/mutual-fund/holding-history/10906/2245414/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","4470861075.2","4459094000","0.71","5739968","","","/mutual-fund/holding-history/10906/65394/"
"Coal India Ltd","COALINDIA","533278","Energy","4246744500","4356395000","0.69","10965000","","","/mutual-fund/holding-history/10906/275/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","4226025727","4309152000","0.68","1835009","","","/mutual-fund/holding-history/10906/560/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","4270589536.4","4292509000","0.68","862972","","","/mutual-fund/holding-history/10906/80502/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","4933727596","4247416000","0.67","3937532","","","/mutual-fund/holding-history/10906/1253626/"
"Ajanta Pharma Ltd","AJANTPHARM","532331","Healthcare","4303390470","4204262000","0.67","1674471","","","/mutual-fund/holding-history/10906/49/"
"Tejas Networks Ltd","TEJASNET","540595","Technology","3955337066.25","4138046000","0.66","5763697","","","/mutual-fund/holding-history/10906/54898/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","4206087054","4125479000","0.65","3622814","","","/mutual-fund/holding-history/10906/712/"
"Vardhman Textiles Ltd","VTL","502986","Consumer Cyclical","3766387128","4048794000","0.64","8233440","","","/mutual-fund/holding-history/10906/1504/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","4023091125.6","4047604000","0.64","3658686","-49517","-1.34","/mutual-fund/holding-history/10906/1359/"
"NIIT Learning Systems Ltd","NIITMTS","543952","Consumer Defensive","4163499674.2","4017048000","0.64","12204308","","","/mutual-fund/holding-history/10906/1603230/"
"eMudhra Ltd","EMUDHRA","543533","Technology","3701758775.9","3943493000","0.63","5083786","","","/mutual-fund/holding-history/10906/897537/"
"Procter & Gamble Health Ltd","PGHL","500126","Healthcare","4050854388","3937817000","0.62","685076","634","0.09","/mutual-fund/holding-history/10906/858/"
"Ion Exchange (India) Ltd","IONEXCHANG","500214","Industrials","3731426628","3897570000","0.62","7161360","","","/mutual-fund/holding-history/10906/2050/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","3762877074.7","3875017000","0.62","3439873","","","/mutual-fund/holding-history/10906/764/"
"Birla Corp Ltd","BIRLACORPN","500335","Basic Materials","3563377951","3865435000","0.61","2812453","","","/mutual-fund/holding-history/10906/198/"
"Vedanta Ltd","VEDL","500295","Basic Materials","3941658929.2","3860557000","0.61","8863636","-2500000","-22","/mutual-fund/holding-history/10906/1289/"
"Cyient Ltd","CYIENT","532175","Industrials","3711979866","3839704000","0.61","2850983","","","/mutual-fund/holding-history/10906/301/"
"Genus Power Infrastructures Ltd","GENUSPOWER","530343","Industrials","3379979992.2","3791869000","0.6","9589956","","","/mutual-fund/holding-history/10906/449/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","4208163098.9","3750039000","0.6","1721623","","","/mutual-fund/holding-history/10906/253/"
